race_id,competition_id,series_key,country,year,course_id,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
208,2948113672,hamburg_marathon,GER,2025,1.0,13.538,11.101,13.889,117.1,0.0
209,3253461275,hannover_marathon,GER,2018,1.0,16.56,14.226,18.96,27.4,1.5
210,2812933410,hannover_marathon,GER,2019,1.0,13.805,12.484,15.733,27.4,1.5
211,226080290,hannover_marathon,GER,2022,1.0,3.025,2.405,6.001,27.4,1.5
212,2390233399,hannover_marathon,GER,2023,2.0,8.125,7.779,9.371,28.4,2.0
213,2753586215,hannover_marathon,GER,2024,2.0,13.351,11.464,12.325,28.4,2.0
214,3706715255,hannover_marathon,GER,2025,2.0,6.566,5.097,7.412,28.4,2.0
334,420046955,lisbon_marathon,POR,2021,1.0,19.214,19.45,21.441,147.3,-5.4
335,796177086,lisbon_marathon,POR,2022,1.0,17.761,17.595,20.456,147.3,-5.4
336,2180283669,lisbon_marathon,POR,2023,1.0,21.479,20.085,24.273,147.3,-5.4
337,3526863261,lisbon_marathon,POR,2024,1.0,20.838,20.7,22.319,147.3,-5.4
338,1454677645,lisbon_marathon,POR,2025,1.0,19.657,19.488,20.875,147.3,-5.4
135,1851294741,london_marathon,GBR,2014,1.0,12.81,11.266,13.481,83.1,-33.9
136,1979949489,london_marathon,GBR,2015,1.0,8.734,8.249,9.008,83.1,-33.9
137,1233707854,london_marathon,GBR,2016,1.0,7.734,6.218,7.842,83.1,-33.9
138,2484229487,london_marathon,GBR,2017,1.0,12.09,10.496,12.632,83.1,-33.9
139,3621880497,london_marathon,GBR,2018,1.0,20.906,18.97,19.564,83.1,-33.9
140,4214543303,london_marathon,GBR,2019,1.0,11.556,10.446,11.436,83.1,-33.9
141,2564796809,london_marathon,GBR,2020,1.0,9.28,8.716,9.433,83.1,-33.9
142,1162151848,london_marathon,GBR,2021,1.0,13.412,12.603,14.45,83.1,-33.9
143,1128495506,london_marathon,GBR,2022,1.0,15.086,14.489,16.321,83.1,-33.9
144,933659902,london_marathon,GBR,2023,1.0,12.21,12.191,12.609,83.1,-33.9
145,2186388322,london_marathon,GBR,2024,1.0,10.057,8.092,9.502,83.1,-33.9
146,1219494144,london_marathon,GBR,2025,1.0,17.497,17.159,18.2,83.1,-33.9
50,1195260006,madrid_marathon,ESP,2021,1.0,15.84,15.931,20.759,318.4,-25.9
51,3860495223,madrid_marathon,ESP,2022,1.0,9.696,9.078,14.399,318.4,-25.9
52,998296918,madrid_marathon,ESP,2023,1.0,14.093,12.371,18.153,318.4,-25.9
53,584342673,madrid_marathon,ESP,2024,1.0,10.56,9.998,13.257,318.4,-25.9
54,1150699688,madrid_marathon,ESP,2025,1.0,13.018,11.307,16.558,318.4,-25.9
