race_id,series_key,country,year,v_point,n_j,temp_field,wbgt_field,wbgt_max,total_gain_m,net_gain_m
177,berlin_marathon,GER,2015,-0.027313097071218373,2560,12.961,12.434,14.239,50.6,0.9
178,berlin_marathon,GER,2016,-0.010430494490942672,3103,17.458,15.935,19.074,50.6,0.9
179,berlin_marathon,GER,2017,-0.009386240855199984,4184,14.719,14.716,16.578,50.6,0.9
180,berlin_marathon,GER,2018,0.007520363720427643,5073,18.316,16.52,17.785,50.6,0.9
181,berlin_marathon,GER,2019,-0.01577119337497584,5639,14.746,13.655,14.892,50.6,0.9
182,berlin_marathon,GER,2021,0.022196394512331952,3581,20.978,19.769,22.248,50.6,0.9
183,berlin_marathon,GER,2022,-0.008790722187932318,5008,14.222,13.772,16.56,50.6,0.9
184,berlin_marathon,GER,2023,-0.00852612255677849,5127,15.618,14.966,17.15,50.6,0.9
185,berlin_marathon,GER,2024,-0.0192091279886158,4409,11.793,11.006,12.208,50.6,0.9
186,berlin_marathon,GER,2025,0.04370201698788693,2208,25.022,22.578,24.224,50.6,0.9
187,cologne_marathon,GER,2018,-0.014996928268771675,264,12.637,11.404,13.567,72.2,10.3
188,cologne_marathon,GER,2019,0.02110345786818306,237,19.615,18.632,21.816,72.2,10.3
189,cologne_marathon,GER,2022,0.008537948399526483,217,14.453,14.246,15.961,72.2,10.3
190,cologne_marathon,GER,2023,0.022105855826488597,252,19.537,18.591,21.997,72.2,10.3
191,cologne_marathon,GER,2024,-0.013777331395188447,224,11.978,11.462,13.532,72.2,10.3
192,cologne_marathon,GER,2025,-0.016518692479265445,236,11.975,11.193,12.236,72.2,10.3
193,frankfurt_marathon,GER,2015,-0.03051163243764451,664,12.927,12.451,13.999,77.9,-1.0
194,frankfurt_marathon,GER,2016,-0.020583082100346702,813,9.092,9.718,13.612,77.9,-1.0
195,frankfurt_marathon,GER,2017,-0.01178059493394171,925,11.633,9.577,9.823,77.9,-1.0
196,frankfurt_marathon,GER,2018,-0.019517636731214757,945,6.504,4.679,5.077,77.9,-1.0
197,frankfurt_marathon,GER,2019,-0.014493455368854205,916,13.797,13.035,13.587,77.9,-1.0
198,frankfurt_marathon,GER,2022,0.01758019427710547,768,17.101,16.338,19.468,77.9,-1.0
199,frankfurt_marathon,GER,2023,-0.01082164280721129,823,12.654,12.478,13.202,77.9,-1.0
200,frankfurt_marathon,GER,2024,-0.01426349098408137,682,12.892,12.978,15.099,77.9,-1.0
201,frankfurt_marathon,GER,2025,-0.02230785499630679,565,8.085,6.566,7.954,77.9,-1.0
202,hamburg_marathon,GER,2018,0.003194125020561371,735,15.4,14.613,15.684,117.1,0.0
203,hamburg_marathon,GER,2019,-0.024692685942318604,809,8.453,7.952,8.627,117.1,0.0
204,hamburg_marathon,GER,2021,0.00689829700436085,288,18.665,18.31,19.529,117.1,0.0
205,hamburg_marathon,GER,2022,-0.006806362491144314,790,10.73,9.456,11.088,117.1,0.0
206,hamburg_marathon,GER,2023,-0.007681467270496481,844,12.532,11.968,15.345,117.1,0.0
207,hamburg_marathon,GER,2024,0.0038792519118986423,807,17.439,15.195,17.062,117.1,0.0
208,hamburg_marathon,GER,2025,-0.017438650995538908,650,13.538,11.101,13.889,117.1,0.0
209,hannover_marathon,GER,2018,0.015126744014050675,99,16.56,14.226,18.96,27.4,1.5
210,hannover_marathon,GER,2019,-0.006129130103213863,97,13.805,12.484,15.733,27.4,1.5
211,hannover_marathon,GER,2022,-0.01233817714896821,186,3.025,2.405,6.001,27.4,1.5
212,hannover_marathon,GER,2023,-0.010057460714502833,102,8.125,7.779,9.371,28.4,2.0
