slug,mrc,nu,param,cell_a,cell_b,pearson,spearman,max_abs
ALL_B_14-25_mrc2,2,8.0,v,baseline,full,0.9420991403405699,0.9347880032098358,0.027880346680668563
ALL_B_14-25_mrc2,2,8.0,v,aging,baseline,0.9542142372359697,0.9584209078183169,0.031124107415945023
ALL_B_14-25_mrc2,2,8.0,v,aging,drift,0.9162674483756756,0.9097954562556472,0.03980105506413542
ALL_B_14-25_mrc2,2,8.0,v,aging,full,0.9686803401699695,0.953100093687227,0.018698939160922516
ALL_B_14-25_mrc2,2,8.0,v,drift,full,0.91657522623808,0.9077083162205275,0.03501862520114541
ALL_B_14-25_mrc2,2,8.0,u,baseline,drift,0.9977907556297038,0.9977111678517419,0.5294992217210215
ALL_B_14-25_mrc2,2,8.0,u,baseline,full,0.9964559257046484,0.9963022504491367,1.068665210541667
ALL_B_14-25_mrc2,2,8.0,u,aging,baseline,0.9982738185721316,0.9981537364292975,0.3323276662405146
ALL_B_14-25_mrc2,2,8.0,u,aging,drift,0.9964520234285316,0.996271841193699,0.5235533157624115
ALL_B_14-25_mrc2,2,8.0,u,aging,full,0.9980067273848707,0.9979677211375978,0.927209394363496
ALL_B_14-25_mrc2,2,8.0,u,drift,full,0.9960007880428436,0.9959272356508307,1.0483021509115797
ALL_B_14-25_mrc5,5,8.0,v,baseline,drift,0.909722249743592,0.8900221973822281,0.037918217216756506
ALL_B_14-25_mrc5,5,8.0,v,baseline,full,0.9299877498918541,0.9085571367630889,0.03418013808842501
ALL_B_14-25_mrc5,5,8.0,v,aging,baseline,0.9311077482972624,0.910369992545219,0.021968005335451242
ALL_B_14-25_mrc5,5,8.0,v,aging,drift,0.8465383100133949,0.7995807624913494,0.037309265265986706
ALL_B_14-25_mrc5,5,8.0,v,aging,full,0.9645570623135792,0.9456560666305477,0.019490935020831837
ALL_B_14-25_mrc5,5,8.0,v,drift,full,0.8825386282959563,0.8490611400555476,0.03622330229132245
ALL_B_14-25_mrc5,5,8.0,u,baseline,drift,0.9986207874747973,0.9985401729915722,0.2013038203738251
ALL_B_14-25_mrc5,5,8.0,u,baseline,full,0.9922719093074633,0.9927153378271936,1.033732750736723
ALL_B_14-25_mrc5,5,8.0,u,aging,baseline,0.9936003362088692,0.9941353708838064,1.0121356346444603
ALL_B_14-25_mrc5,5,8.0,u,aging,drift,0.9929918352870465,0.9935013523371535,1.0045681706087173
ALL_B_14-25_mrc5,5,8.0,u,aging,full,0.998898694085764,0.998850609102394,0.19431561500439543
ALL_B_14-25_mrc5,5,8.0,u,drift,full,0.9937195666403584,0.9942470019311201,1.0264130967142844
WA_M_14-25_mrc2,2,8.0,v,baseline,drift,0.9333195201396847,0.9230673604857796,0.022734342307814095
WA_M_14-25_mrc2,2,8.0,v,baseline,full,0.9591351166085059,0.9490218266142849,0.02782171301533303
WA_M_14-25_mrc2,2,8.0,v,aging,baseline,0.9844738550673567,0.9779279458757342,0.0079206923442155
WA_M_14-25_mrc2,2,8.0,v,aging,drift,0.9288467363353733,0.9214114384527728,0.023698037208267964
WA_M_14-25_mrc2,2,8.0,v,aging,full,0.9620727299357211,0.9554925132880174,0.020829229596871196
WA_M_14-25_mrc2,2,8.0,v,drift,full,0.9187606992016295,0.9064794523822807,0.031848514532986705
WA_M_14-25_mrc2,2,8.0,u,baseline,drift,0.9884410500956613,0.9906345827572739,0.1590378662547547
WA_M_14-25_mrc2,2,8.0,u,baseline,full,0.9792225524250172,0.9807397153343644,0.3016956242801143
WA_M_14-25_mrc2,2,8.0,u,aging,baseline,0.989736081755342,0.9886398619706437,0.2827118796266124
WA_M_14-25_mrc2,2,8.0,u,aging,drift,0.9822408368716694,0.9840373400145631,0.2943633216170536
WA_M_14-25_mrc2,2,8.0,u,aging,full,0.9883320702668111,0.9909907579978907,0.16363871450219314
WA_M_14-25_mrc2,2,8.0,u,drift,full,0.9867594511425656,0.9847937358184641,0.31334706627055553
WA_M_14-25_mrc5,5,8.0,v,baseline,drift,0.8562718354813506,0.8501354260712548,0.04290069395903734
WA_M_14-25_mrc5,5,8.0,v,baseline,full,0.9239385954755684,0.8985554552399472,0.021365360439807236
WA_M_14-25_mrc5,5,8.0,v,aging,baseline,0.9591293071160131,0.9408153343982221,0.016719435253488204
WA_M_14-25_mrc5,5,8.0,v,aging,drift,0.8623715148473879,0.8735051045211473,0.04911377627680176
