target,kind,weather_set,n,r2,r2_sd,r2_lo,r2_hi,beta_weather,se_weather,z_weather,beta_weather_lo,beta_weather_hi,beta_course,se_course,z_course,beta_course_lo,beta_course_hi
median_time_sec,metric,WBGT,343,0.025794208910336458,0.016630158259783794,0.006463598523915151,0.07168453907523097,0.08062738083528491,0.053754422118095564,1.499920893171373,-0.024729350550669812,0.18598411222123962,0.13171415675541398,0.053754422118095585,2.450294349105736,0.026357425369459217,0.23707088814136873
p75_time_sec,metric,temp,343,0.04911225183825796,0.022407983197527293,0.015576076776827864,0.10324789331340557,0.1926664977476904,0.05349496148583991,3.6015821377624344,0.0878182998564821,0.2975146956388987,0.08425778480969388,0.05349496148583992,1.575060201361148,-0.020590413081514436,0.1891059827009022
p75_time_sec,metric,WBGT,343,0.020561717788220135,0.016573008761089546,0.0027380718876536037,0.06638003743101904,0.08827382316509,0.05389858717694424,1.6377761976449388,-0.017365466544103536,0.19391311287428353,0.10520783529441706,0.05389858717694426,1.9519590550496084,-0.00043145441477651647,0.21084712500361064
m_top1_sec,metric,temp,343,0.04738384183794242,0.01951276444243664,0.020547677848206863,0.09645036939178,-0.0377863405436513,0.053543557783605235,-0.7057121735608926,-0.142729785428284,0.06715710434098138,0.2201432163282111,0.05354355778360525,4.1114790544534525,0.11519977144357839,0.3250866612128438
m_top1_sec,metric,WBGT,343,0.0513951511956926,0.02000607621296856,0.023675387958075996,0.10191442649085164,-0.07384043344051237,0.05304341956130212,-1.3920752857039167,-0.17780362542190903,0.030122758540884267,0.22121045191293462,0.05304341956130213,4.170365593743109,0.11724725993153795,0.3251736438943313
m_top3_sec,metric,temp,343,0.04692542842184966,0.019792991277829724,0.019937438571412842,0.09550089295503601,-0.05203977576683499,0.05355643922219205,-0.9716810251505928,-0.1570084678071728,0.05292891627350283,0.21826712224826383,0.05355643922219206,4.075459933822878,0.11329843020792599,0.3232358142886017
m_top3_sec,metric,WBGT,343,0.05249067187059253,0.020465174307823727,0.024116865404362194,0.10260871559125583,-0.0910017570040704,0.05301278143518009,-1.7166003092167552,-0.19490489936169997,0.012901385353559183,0.2187578981965871,0.0530127814351801,4.126512366910369,0.11485475583895748,0.3226610405542167
m_top10_sec,metric,temp,343,0.040081465247732484,0.018281619787676538,0.01561617830439326,0.08386550980616797,0.025834492210739676,0.05374838780582844,0.4806561324977677,-0.07951041214049724,0.13117939656197658,0.1946748721165104,0.053748387805828454,3.621966724281913,0.08932996776527348,0.30001977646774736
m_top10_sec,metric,WBGT,343,0.03952607625974969,0.01794897063726134,0.01608385583637079,0.08331118459485083,-0.009884111640387673,0.053374231284822736,-0.18518508655689578,-0.11449568268570051,0.09472745940492516,0.1994729185033543,0.05337423128482276,3.737251360846774,0.09486134745804142,0.3040844895486672
m_top25_sec,metric,temp,343,0.085149042650281,0.02407118108578381,0.04653990732725568,0.14099832713033741,0.12221960691800755,0.05247149362534384,2.329257249482512,0.019377369173176548,0.22506184466283857,0.2471963682163278,0.052471493625343854,4.711060256476697,0.14435413047149676,0.3500386059611588
m_top25_sec,metric,WBGT,343,0.08380343516888666,0.02359665671477546,0.04605366810121589,0.137884334550024,0.1156065918085437,0.05212945367746023,2.217682781097891,0.013434740042995844,0.21777844357409154,0.2550280294374689,0.05212945367746025,4.892206064836202,0.152856177671921,0.35719988120301677
w_top1_sec,metric,temp,343,0.05578491112584405,0.019829433167289818,0.027133966700626653,0.10222204780661763,-0.048931087869428014,0.053306936100431794,-0.9179122164748025,-0.1534107627769707,0.05554858703811465,0.2385552311599511,0.05330693610043181,4.475125539207621,0.1340755562524084,0.34303490606749376
w_top1_sec,metric,WBGT,343,0.05743668130408741,0.020165820569363127,0.027768452621367474,0.10378680136665261,-0.06344607412056612,0.052874236737379184,-1.199943073139687,-0.16707767386019323,0.04018552561906098,0.236991296793923,0.052874236737379204,4.482169605039103,0.13335969705429584,0.34062289653355016
w_top3_sec,metric,temp,343,0.0298771281882646,0.01630985427714257,0.009261112084003787,0.07067519768977161,-0.02330378112880314,0.05403331654427469,-0.4312854109132485,-0.1292071355456862,0.0825995732880799,0.17481953815850815,0.05403331654427471,3.2354026985417716,0.06891618374162507,0.28072289257539124
w_top3_sec,metric,WBGT,343,0.030695668738145776,0.01657241917588801,0.009885876418085077,0.07245476304434799,-0.03688744335501356,0.05361902599299323,-0.6879543720140291,-0.14197880321205913,0.06820391650203203,0.17468552007414773,0.053619025992993244,3.257901777197054,0.06959416021710212,0.2797768799311933
w_top10_sec,metric,temp,343,0.024913873596366543,0.015017952005667173,0.0068313162647023525,0.06286285601444093,0.03332816877280116,0.05417136038280379,0.6152359574743279,-0.07284574659595007,0.1395020841415524,0.14934205344906426,0.0541713603828038,2.756845174160912,0.043168138080313015,0.2555159688178155
w_top10_sec,metric,WBGT,343,0.02740897382152141,0.015572498143686836,0.008621935572381056,0.06731059582406503,0.06009092586516732,0.053709854146023625,1.1188063497956104,-0.04517845390064191,0.16536030563097656,0.1488620007889754,0.05370985414602364,2.7715956998180804,0.04359262102316615,0.2541313805547847
w_top25_sec,metric,temp,341,0.034921682747871774,0.017018113816682987,0.012752270466822233,0.07738198650239311,0.06941343773980324,0.05404375524253787,1.2843933110918961,-0.03651037614972592,0.1753372516293324,0.16342224865704488,0.054043755242537884,3.0238877354772544,0.05749843476751569,0.26934606254657406
w_top25_sec,metric,WBGT,341,0.03898667819696122,0.01775650161097007,0.014894079410701689,0.08438778674979432,0.09407058730458191,0.053546503539993115,1.7568016786440956,-0.010878631156479593,0.19901980576564343,0.16520908123003358,0.05354650353999313,3.085338356530436,0.06025986276897205,0.2701582996910951
sub3_pct,metric,temp,343,0.04350218583147836,0.01597224778134869,0.029246831739026858,0.08894120084385934,-0.1110632431278244,0.053652534720657646,-2.070046526339828,-0.21622027888427542,-0.005906207371373373,-0.16059757527597662,0.05365253472065766,-2.993289620185312,-0.2657546110324277,-0.05544053951952557
sub3_pct,metric,WBGT,343,0.03969748269341855,0.012466085242791653,0.02689577701934031,0.0757442350694132,-0.09121403662738407,0.05336946848251552,-1.7091052097936275,-0.1958162727517071,0.013388199496938938,-0.16898160815984856,0.05336946848251553,-3.166259904109949,-0.2735838442841716,-0.06437937203552552
sub4_pct,metric,temp,343,0.09013645524346259,0.031396646607684604,0.04006659416105973,0.16317156331819427,-0.2516553035430198,0.05232827104403882,-4.809165266156603,-0.35421683018665423,-0.14909377689938536,-0.13013798227365272,0.05232827104403883,-2.486953604183295,-0.2326995089172872,-0.027576455630018273
sub4_pct,metric,WBGT,343,0.04216016685207402,0.023351893279181486,0.010900740902123878,0.1020015678184968,-0.11846388768047755,0.05330099187515831,-2.2225456508941503,-0.22293191212056546,-0.01399586324038965,-0.15721267820182144,0.05330099187515832,-2.9495263159463385,-0.26168070264190935,-0.052744653761733526
bq_pct,metric,temp,343,0.07625771299693995,0.02383559463180245,0.041061012397753886,0.13334659473177363,-0.18562897337517842,0.05272585924278382,-3.5206438745819777,-0.2889697585692141,-0.08228818818114277,-0.17838176544672688,0.052725859242783835,-3.3831931429574675,-0.28172255064076257,-0.0750409802526912
bq_pct,metric,WBGT,343,0.06221067975163219,0.020092784448013157,0.030841581243393087,0.11219592504876483,-0.1406932457238745,0.05274016512957909,-2.667667903166411,-0.24406206994080237,-0.03732442150694665,-0.1934715043435903,0.05274016512957911,-3.6683901893034196,-0.29684032856051823,-0.09010268012666241
m_sub3_pct,metric,temp,343,0.045046747104338314,0.017651032575081483,0.023564794731053138,0.09142411767559515,-0.12719958488354846,0.0536091979206222,-2.3727194178858952,-0.23227168207270488,-0.02212748769439206,-0.1518130349365238,0.053609197920622215,-2.831846787958095,-0.2568851321256802,-0.04674093774736736
m_sub3_pct,metric,WBGT,343,0.04200236514970446,0.01499305747268352,0.02268928348682787,0.08070927859134543,-0.11347205357203957,0.05330538229648508,-2.128716626416951,-0.21794868307980692,-0.008995424064272228,-0.16059057977345795,0.0533053822964851,-3.0126522473894184,-0.26506720928122535,-0.05611395026569056
m_sub4_pct,metric,temp,343,0.07725166122746674,0.039076455140990785,0.02157994070945372,0.17032150881288824,-0.2524186235244093,0.052697485052131024,-4.789955787732641,-0.35570379632666194,-0.14913345072215667,-0.08436936983589155,0.05269748505213103,-1.6010132125362164,-0.1876545426381442,0.01891580296636111
m_sub4_pct,metric,WBGT,343,0.03301691803001949,0.026281889254137027,0.0034793424388323644,0.1023980283958006,-0.1348557945642842,0.053554785214208256,-2.518090475480173,-0.2398212448085429,-0.02989034432002552,-0.11005815217729921,0.05355478521420827,-2.055057297626887,-0.21502360242155794,-0.005092701933040497
m_bq_pct,metric,temp,343,0.06268729800896533,0.026251436994381074,0.025639866399450366,0.12643347696398696,-0.1684310362586864,0.053111736930962924,-3.171258294143549,-0.2725281278241682,-0.06433394469320465,-0.16160167354006869,0.05311173693096294,-3.0426734819485555,-0.26569876510555046,-0.057504581974586896
m_bq_pct,metric,WBGT,343,0.05427217040578147,0.02203301778358136,0.022750247660051477,0.10681121796027356,-0.13954556529252227,0.052962920909383225,-2.6347784996842867,-0.24335098281531684,-0.0357401477697277,-0.17420494355754573,0.05296292090938324,-3.2891868606642976,-0.27801036108034033,-0.07039952603475114
w_sub3_pct,metric,temp,343,0.010465012499787374,0.005667590689807544,0.006735261845378796,0.025508555397848697,-0.02028581891446497,0.05457124104657953,-0.37173094335805773,-0.12724348598251456,0.08667184815358461,-0.09725685034103232,0.054571241046579545,-1.7821997168438641,-0.20421451740908192,0.009700816727017295
w_sub3_pct,metric,WBGT,343,0.010365535242170543,0.0074367017271405374,0.0068982387390407515,0.03422218162975664,-0.017471464190705218,0.05417840928449471,-0.3224801986887675,-0.12365919515290447,0.08871626677149402,-0.09871393160667014,0.05417840928449472,-1.822016056032878,-0.2049016625688694,0.007473799355529137
w_sub4_pct,metric,temp,343,0.04770476553530334,0.022383626946829834,0.016796960125676795,0.10257629868398113,-0.16717758525057191,0.053534537968097845,-3.1227986939981798,-0.2721033516216588,-0.06225181887948507,-0.1176052674964011,0.05353453796809786,-2.1968111047579058,-0.22253103386748796,-0.012679501125314227
w_sub4_pct,metric,WBGT,343,0.02800408568405055,0.017130344525610543,0.0071720887651873675,0.07246189114600356,-0.08762076446670498,0.053693419559731205,-1.631871562384499,-0.1928579330352727,0.01761640410186273,-0.13477419156776493,0.05369341955973122,-2.5100690675481276,-0.24001136013633267,-0.029537022999197193
w_bq_pct,metric,temp,343,0.04709675682720038,0.016011763186861143,0.021966220924343215,0.0845378047898852,-0.15107767568403582,0.05355162524855052,-2.821159488303766,-0.2560369325094115,-0.04611841885866014,-0.13468434686310252,0.05355162524855053,-2.5150375219797456,-0.23964360368847823,-0.029725090037726803
w_bq_pct,metric,WBGT,343,0.03444422793161539,0.01543040874154813,0.012115973665790763,0.07273764467855644,-0.09866748521414567,0.05351524599970893,-1.8437266496856304,-0.2035554400219905,0.006220469593699152,-0.14841567357364813,0.053515245999708944,-2.7733344171575953,-0.25330362838149295,-0.04352771876580329
