slug,solver,nu,cand,basis,gamma_form,fold,train_loglik,heldout_logdens,heldout_per_cell,heldout_rmse,n_test,n_orphan,n_iter
ALL_B_14-25_mrc2,anderson,inf,spline5-gscalar,spline5,scalar,0,1516520.8875931008,208909.5860846748,0.8391965376583708,0.08115871560575943,248940,0,48
ALL_B_14-25_mrc2,anderson,8,spline5-gscalar,spline5,scalar,0,1624516.4038195473,229956.61446108768,0.9237431287100815,0.08862427726396233,248940,0,160
ALL_B_14-25_mrc2,anderson,inf,spline5-gscalar,spline5,scalar,1,1517704.0768914004,207557.95281265152,0.8353172225011933,0.08126885446740802,248478,0,55
ALL_B_14-25_mrc2,anderson,8,spline5-gscalar,spline5,scalar,1,1625719.0997108456,228972.89636734917,0.9215016877443845,0.08715554765780965,248478,0,118
ALL_B_14-25_mrc2,anderson,inf,spline5-gscalar,spline5,scalar,2,1516319.60029407,209170.5447597776,0.8400963305263696,0.08113420139235562,248984,0,46
ALL_B_14-25_mrc2,anderson,8,spline5-gscalar,spline5,scalar,2,1623891.3247193052,231085.05105426107,0.9281120515947252,0.08788566713089198,248984,0,143
ALL_B_14-25_mrc2,anderson,inf,spline5-gscalar,spline5,scalar,3,1517057.9369690786,208497.10325856018,0.8370587445091001,0.08119627209708227,249083,0,52
ALL_B_14-25_mrc2,anderson,8,spline5-gscalar,spline5,scalar,3,1624930.2150706646,229698.38475580054,0.9221760808878989,0.08727937806000041,249083,0,110
ALL_B_14-25_mrc2,anderson,inf,spline5-gscalar,spline5,scalar,4,1517479.1734135055,207852.06632527747,0.8354014843965253,0.08125303985015808,248805,0,57
ALL_B_14-25_mrc2,anderson,8,spline5-gscalar,spline5,scalar,4,1625375.4081009424,229031.00628419104,0.9205241304804608,0.0864422106575568,248805,0,90
ALL_B_14-25_mrc2,anderson,inf,spline5-gvarying,spline5,varying,0,1520402.4093416552,205482.58008713808,0.8254301441597898,0.08144351486309209,248940,0,42
ALL_B_14-25_mrc2,anderson,8,spline5-gvarying,spline5,varying,0,1625896.4958190462,230865.67027216635,0.9273948351898704,0.08663745209757252,248940,0,165
ALL_B_14-25_mrc2,anderson,inf,spline5-gvarying,spline5,varying,1,1520333.4401859853,207496.71138940705,0.8350707563221172,0.0811529129524101,248478,0,55
ALL_B_14-25_mrc2,anderson,8,spline5-gvarying,spline5,varying,1,1627154.764011327,230008.49802794904,0.9256694678319571,0.08515559441138519,248478,0,104
ALL_B_14-25_mrc2,anderson,inf,spline5-gvarying,spline5,varying,2,1519008.929525685,208996.41039188261,0.839396950775482,0.08103147625518121,248984,0,47
ALL_B_14-25_mrc2,anderson,8,spline5-gvarying,spline5,varying,2,1625645.850673963,231599.0664213531,0.9301765029935783,0.0861045394812559,248984,0,119
ALL_B_14-25_mrc2,anderson,inf,spline5-gvarying,spline5,varying,3,1519243.378548228,209604.17417511906,0.8415033309182844,0.08094140752004635,249083,0,54
ALL_B_14-25_mrc2,anderson,8,spline5-gvarying,spline5,varying,3,1626547.7868483341,230448.29984103437,0.9251867844896455,0.08513455693363538,249083,0,110
ALL_B_14-25_mrc2,anderson,inf,spline5-gvarying,spline5,varying,4,1519668.723192982,208955.9657965777,0.8398382902135314,0.08099820487959297,248805,0,41
ALL_B_14-25_mrc2,anderson,8,spline5-gvarying,spline5,varying,4,1626899.7317149509,229924.04407766266,0.9241134385469049,0.08460575989251423,248805,0,103
ALL_B_14-25_mrc2,anderson,inf,spline6-gscalar,spline6,scalar,0,1516530.5285907602,208916.7663927239,0.839225381187129,0.08115727313314555,248940,0,49
ALL_B_14-25_mrc2,anderson,8,spline6-gscalar,spline6,scalar,0,1624525.5570725666,229950.01882033012,0.9237166338086692,0.08862467123461462,248940,0,151
ALL_B_14-25_mrc2,anderson,inf,spline6-gscalar,spline6,scalar,1,1517717.6157796858,207557.73816675224,0.835316358658522,0.0812682438077038,248478,0,55
ALL_B_14-25_mrc2,anderson,8,spline6-gscalar,spline6,scalar,1,1625732.0311413459,228998.03547818668,0.9216028601251889,0.08714697688012875,248478,0,103
ALL_B_14-25_mrc2,anderson,inf,spline6-gscalar,spline6,scalar,2,1516333.4356179275,209167.83097266464,0.8400854310825782,0.08113392371902163,248984,0,47
ALL_B_14-25_mrc2,anderson,8,spline6-gscalar,spline6,scalar,2,1623906.7752664043,231095.0315141676,0.9281521363387512,0.08788075023412491,248984,0,123
ALL_B_14-25_mrc2,anderson,inf,spline6-gscalar,spline6,scalar,3,1517072.6719659776,208492.09083172894,0.8370386209887023,0.0811962642460313,249083,0,52
ALL_B_14-25_mrc2,anderson,8,spline6-gscalar,spline6,scalar,3,1624944.6116919422,229699.20586619814,0.9221793774211734,0.0872811781415952,249083,0,106
ALL_B_14-25_mrc2,anderson,inf,spline6-gscalar,spline6,scalar,4,1517491.5736058159,207852.5122033068,0.8354032764747766,0.08125239212709746,248805,0,57
ALL_B_14-25_mrc2,anderson,8,spline6-gscalar,spline6,scalar,4,1625388.3626793113,229034.95570681317,0.9205400040465954,0.08644283278283332,248805,0,90
ALL_B_14-25_mrc2,anderson,inf,spline6-gvarying,spline6,varying,0,1521290.8170087263,206514.31436819042,0.829574654005746,0.08126071415286097,248940,0,35
ALL_B_14-25_mrc2,anderson,8,spline6-gvarying,spline6,varying,0,1625920.166012724,230942.50406346933,0.927703479004858,0.08658857779871763,248940,0,172
ALL_B_14-25_mrc2,anderson,inf,spline6-gvarying,spline6,varying,1,1521420.1572922803,207712.54849123285,0.8359393929894512,0.08107197284826403,248478,0,60
ALL_B_14-25_mrc2,anderson,8,spline6-gvarying,spline6,varying,1,1627183.5523245665,230051.84630710148,0.9258439230318237,0.08513569166641445,248478,0,114
ALL_B_14-25_mrc2,anderson,inf,spline6-gvarying,spline6,varying,2,1520194.213768098,209053.9259916309,0.8396279519633025,0.08096775921266391,248984,0,47
ALL_B_14-25_mrc2,anderson,8,spline6-gvarying,spline6,varying,2,1625653.7862659807,231739.7137702965,0.9307413880823527,0.08595791814399902,248984,0,99
ALL_B_14-25_mrc2,anderson,inf,spline6-gvarying,spline6,varying,3,1520132.230351815,210312.77610553018,0.8443481735226016,0.0808025278821124,249083,0,54
ALL_B_14-25_mrc2,anderson,8,spline6-gvarying,spline6,varying,3,1626576.9477583081,230568.0038074446,0.925667363117694,0.08510426468160445,249083,0,107
ALL_B_14-25_mrc2,anderson,inf,spline6-gvarying,spline6,varying,4,1520625.4776999557,209427.18090039835,0.8417322035344883,0.08088858554715773,248805,0,40
ALL_B_14-25_mrc2,anderson,8,spline6-gvarying,spline6,varying,4,1626901.7041832947,229993.18908861856,0.9243913469931012,0.084471420811918,248805,0,103
