comp_id,series_key,year,date,race_country,total_runners,total_men,total_women,dnf_count,mean_time_sec,p1_time_sec,p10_time_sec,p25_time_sec,median_time_sec,p75_time_sec,mean_time,p1_time,p10_time,p25_time,median_time,p75_time,m_top1_sec,m_top3_sec,m_top10_sec,m_top25_sec,w_top1_sec,w_top3_sec,w_top10_sec,w_top25_sec,m_top1,m_top3,m_top10,m_top25,w_top1,w_top3,w_top10,w_top25,sub3_count,sub3_pct,sub4_count,sub4_pct,bq_count,bq_pct,m_sub3_count,m_sub3_pct,m_sub4_count,m_sub4_pct,m_bq_count,m_bq_pct,w_sub3_count,w_sub3_pct,w_sub4_count,w_sub4_pct,w_bq_count,w_bq_pct
631709417,vienna_marathon,2019,2019-04-07,AUT,5733,4450,1281,0,14696.758241758242,9790.96,11832.2,13033.0,14406.0,16200.0,04:04:57,02:43:11,03:17:12,03:37:13,04:00:06,04:30:00,7616.0,7705.0,7815.0,8851.0,8532.0,8776.0,10477.0,11294.0,02:06:56,02:08:25,02:10:15,02:27:31,02:22:12,02:26:16,02:54:37,03:08:14,205,3.5757892900750043,2855,49.799406942264085,520,9.070294784580499,187,4.202247191011236,2479,55.70786516853933,390,8.764044943820224,17,1.3270882123341141,374,29.195940671350506,130,10.14832162373146
640959295,berlin_marathon,2019,2019-09-29,GER,43977,30724,13230,0,15089.481842781453,9518.52,11572.0,13046.0,14681.0,16922.0,04:11:29,02:38:39,03:12:52,03:37:26,04:04:41,04:42:02,7301.0,7416.0,7779.0,8042.0,8414.0,8466.0,9085.0,9493.0,02:01:41,02:03:36,02:09:39,02:14:02,02:20:14,02:21:06,02:31:25,02:38:13,2466,5.607476635514018,20454,46.51067603520021,4928,11.20585760738568,2323,7.560864470772034,16706,54.37443041270667,3563,11.59679729201927,136,1.0279667422524565,3731,28.2010582010582,1365,10.317460317460316
651543560,rotterdam_marathon,2023,2023-04-16,NED,16848,12985,3854,0,14035.183701329535,9219.41,10999.7,12494.75,14066.0,15497.0,03:53:55,02:33:39,03:03:20,03:28:15,03:54:26,04:18:17,7427.0,7532.0,7698.0,8247.0,8431.0,8776.0,8980.0,9906.0,02:03:47,02:05:32,02:08:18,02:17:27,02:20:31,02:26:16,02:29:40,02:45:06,1501,8.909069325735992,9884,58.66571699905033,2313,13.72863247863248,1423,10.958798613785136,8369,64.45128994994224,1784,13.738929534077782,72,1.8681888946549041,1509,39.15412558380903,529,13.72599896211728
663509585,munich_marathon,2022,2022-10-09,GER,3166,2475,685,95,14519.633922931143,9638.25,11627.0,12937.25,14292.5,16047.75,04:02:00,02:40:38,03:13:47,03:35:37,03:58:12,04:27:28,7648.0,7690.0,8782.0,9640.0,8606.0,8855.0,10738.0,11755.0,02:07:28,02:08:10,02:26:22,02:40:40,02:23:26,02:27:35,02:58:58,03:15:55,161,5.085281111813013,1663,52.526847757422615,302,9.538850284270373,150,6.0606060606060606,1431,57.81818181818181,233,9.414141414141413,11,1.6058394160583942,228,33.284671532846716,69,10.072992700729927
680430982,amsterdam_marathon,2016,2016-10-16,NED,12194,9314,2869,0,14635.721666393309,9865.93,11758.0,13029.0,14373.5,16092.75,04:03:56,02:44:26,03:15:58,03:37:09,03:59:34,04:28:13,7520.0,7547.0,7698.0,8957.0,8601.0,8700.0,10418.0,10990.0,02:05:20,02:05:47,02:08:18,02:29:17,02:23:21,02:25:00,02:53:38,03:03:10,527,4.321797605379695,6171,50.60685583073643,1017,8.340167295391176,502,5.389735881468757,5332,57.24715482070002,784,8.41743611767232,23,0.801673056814221,833,29.03450679679331,233,8.121296619031021
713034261,milton_keynes_marathon,2022,2022-05-02,GBR,1352,980,363,36,15375.287721893492,9993.67,11678.1,13298.75,14983.5,17174.5,04:16:15,02:46:34,03:14:38,03:41:39,04:09:44,04:46:14,8976.0,9427.0,9841.0,10375.0,10666.0,10920.0,11679.0,12503.0,02:29:36,02:37:07,02:44:01,02:52:55,02:57:46,03:02:00,03:14:39,03:28:23,56,4.142011834319527,583,43.12130177514793,160,11.834319526627219,55,5.612244897959184,489,49.89795918367347,115,11.73469387755102,1,0.27548209366391185,92,25.344352617079892,45,12.396694214876034
717911562,itabashi_marathon,2016,2016-03-20,JPN,13935,12237,1698,568,16626.709221385,10297.7,12341.0,13976.0,16409.0,19109.5,04:37:07,02:51:38,03:25:41,03:52:56,04:33:29,05:18:30,8663.0,8770.0,9092.0,9370.0,10222.0,10705.0,11245.0,11673.0,02:24:23,02:26:10,02:31:32,02:36:10,02:50:22,02:58:25,03:07:25,03:14:33,357,2.5618945102260495,4342,31.158952278435592,0,0.0,352,2.8765220233717415,4092,33.43956852169649,0,0.0,5,0.2944640753828033,250,14.723203769140165,0,0.0
758997271,kobe_marathon,2019,2019-11-17,JPN,19444,14855,4589,810,17007.37492285538,9905.15,12389.3,14271.0,17014.0,19708.0,04:43:27,02:45:05,03:26:29,03:57:51,04:43:34,05:28:28,7726.0,8043.0,8270.0,8800.0,8858.0,9102.0,9772.0,10813.0,02:08:46,02:14:03,02:17:50,02:26:40,02:27:38,02:31:42,02:42:52,03:00:13,619,3.183501337173421,5122,26.342316395803334,1560,8.023040526640608,595,4.0053853921238645,4438,29.875462807135644,1175,7.909794681925278,24,0.5229897581172369,684,14.90520810634125,385,8.38962736979734
771070028,singapore_marathon,2015,2015-12-06,SGP,9279,7815,1464,335,21677.776053454036,12377.9,16285.8,18656.0,21653.0,24728.5,06:01:18,03:26:18,04:31:26,05:10:56,06:00:53,06:52:08,8244.0,8258.0,8614.0,10755.0,9866.0,9892.0,11280.0,13201.0,02:17:24,02:17:38,02:23:34,02:59:15,02:44:26,02:44:52,03:08:00,03:40:01,33,0.35564177174264466,387,4.1707080504364695,42,0.45263498221791143,25,0.3198976327575176,339,4.337811900191939,23,0.2943058221369162,8,0.546448087431694,48,3.278688524590164,19,1.2978142076502732
785417918,milton_keynes_marathon,2018,2018-05-07,GBR,2034,1458,552,98,17248.567354965584,10952.94,13365.5,14982.25,17125.0,19392.5,04:47:29,03:02:33,03:42:46,04:09:42,04:45:25,05:23:12,9460.0,9597.0,10537.0,11129.0,10660.0,11398.0,12852.0,13752.0,02:37:40,02:39:57,02:55:37,03:05:29,02:57:40,03:09:58,03:34:12,03:49:12,18,0.8849557522123894,387,19.02654867256637,32,1.5732546705998034,17,1.1659807956104253,341,23.388203017832648,21,1.440329218106996,1,0.18115942028985507,40,7.246376811594203,11,1.9927536231884055
