cohort,sex,n_floor,x,dens,lo,hi,n_draws
ALL,M,5,-2.2194686863088577,0.08920332821931663,0.0854544063703637,0.09211611422470298,200
ALL,M,5,-2.1609320280281272,0.09502401489196638,0.09132244889594443,0.0983386807183741,200
ALL,M,5,-2.1023953697473967,0.10086958740257211,0.0973804025089015,0.10447712705593856,200
ALL,M,5,-2.0438587114666658,0.10669909427413349,0.10300128027975937,0.11035291171093876,200
ALL,M,5,-1.9853220531859352,0.11252192600095288,0.10876892187106461,0.11633095182533179,200
ALL,M,5,-1.9267853949052047,0.1183909597562674,0.11464939710844581,0.12198025285658391,200
ALL,M,5,-1.8682487366244738,0.12438561846431669,0.1205966159062495,0.12786251961378212,200
ALL,M,5,-1.8097120783437433,0.13059173770815796,0.12696930587010372,0.13411230358971843,200
ALL,M,5,-1.7511754200630127,0.13708412615297869,0.13351975607351937,0.14099221833999673,200
ALL,M,5,-1.6926387617822818,0.14391377917380135,0.1403716121075477,0.14774087234050298,200
