label,slice_A,slice_B,model,series_key,country,year,race_id,n_j_A,n_j_B,v_A,v_B,dv,r,r_min_at_3h,sd_boot,z,n_boot,rank_A,rank_B,d_rank,flag
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,dublin_marathon,IRL,2022,236,144,66,-0.013892,-0.015951,0.002059,0.003164,0.569603,0.005804,0.545255,4000,89,45,-44,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,brighton_marathon,GBR,2025,115,912,438,0.010415,0.012191,-0.001776,-0.002626,-0.472672,0.004823,0.544443,4000,252,269,17,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,milton_keynes_marathon,GBR,2018,157,398,137,0.108886,0.114082,-0.005197,-0.004253,-0.7656,0.007965,0.53402,4000,337,337,0,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,malaga_marathon,ESP,2019,56,266,62,-0.019873,-0.014373,-0.0055,-0.003937,-0.708708,0.007387,0.533001,4000,37,54,17,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,amsterdam_marathon,NED,2019,305,2762,672,-0.01072,-0.010567,-0.000153,0.001378,0.248022,0.002588,0.532352,4000,115,88,-27,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,copenhagen_marathon,DEN,2022,40,2011,647,0.002532,0.005201,-0.002669,-0.001355,-0.24393,0.002561,0.529214,4000,207,223,16,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,eindhoven_marathon,NED,2021,314,419,87,-0.014806,-0.010056,-0.00475,-0.003244,-0.583862,0.006138,0.528457,4000,81,96,15,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,madrid_marathon,ESP,2025,54,353,77,0.005438,0.008529,-0.003091,-0.004004,-0.72076,0.008026,0.498906,4000,226,250,24,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,boston_marathon,USA,2014,366,1046,734,-0.008746,-0.010211,0.001465,-0.001925,-0.346564,0.003883,0.495842,4000,134,138,4,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,melbourne_marathon,AUS,2022,9,1733,539,0.005394,0.008393,-0.002999,-0.001855,-0.333917,0.003815,0.486262,4000,225,237,12,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,cape_town_marathon,RSA,2022,339,26,21,0.004499,0.000387,0.004112,0.005237,0.942688,0.010868,0.48188,4000,214,193,-21,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,melbourne_marathon,AUS,2024,11,2210,806,0.011927,0.013123,-0.001196,-0.001549,-0.278873,0.003247,0.477202,4000,257,272,15,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,bostonUK_marathon,GBR,2024,110,183,65,-0.010131,-0.014237,0.004106,0.004179,0.75223,0.00887,0.47116,4000,122,66,-56,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,chester_marathon,GBR,2018,118,739,364,-0.020785,-0.017713,-0.003073,-0.001908,-0.343405,0.004098,0.465509,4000,31,30,-1,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,munich_marathon,GER,2023,219,937,231,0.009408,0.008001,0.001407,0.001928,0.347091,0.004191,0.460088,4000,243,238,-5,False
MvsW_ALL_14-25_mrc2,ALL_M_14-25_mrc2,ALL_W_14-25_mrc2,full_nu8p00,newport_marathon,GBR,2025,169,458,150,-0.020469,-0.023813,0.003344,0.002474,0.445233,0.00541,0.457192,4000,33,10,-23,False
